video_question,question_text,question_image,question_image_source,question_source_name,answer_text,answer_image,answer_image_source,answer_source_name,domain,topic,subtopic,audio_confirmed,active_card,note_id
FALSE,"What happens in subclavian steal syndrome?
What flow changes occur?",,,,"In subclavian steal syndrome, there is decreased flow and pressure distal to the stenosis or obstruction.
This results in compensatory retrograde flow from the ipsilateral vertebral artery in order to supply blood flow to the upper extremity.
This can sometimes cause basilar artery stroke like symptoms such as, dizziness, vertigo, ataxia, and double vision. These symptoms are more likely to occur with upper extremity exercise.
",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,0
FALSE,"In subclavian steal syndrome, where is an obstruction or stenosis most commonly located within the artery?",,,,"In subclavian steal syndrome, an obstruction or stenosis occurs in the proximal subclavian artery, and specifically proximal to the take off of the vertebral artery.
If the occlusion is distal to the vertebral artery, a subclavian steal is not possible.
",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,1
FALSE,"Can a subclavian steal syndrome, occur if the occlusion is distal to the vertebral artery origin?

",,,,"No.
The occlusion must be proximal to the vertebral artery for a subclavian steal syndrome to occur.
",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,2
FALSE,"Which side or laterality, is subclavian steal most likely to occur on?

",,,,"Subclavian steal occurs more often on the left, compared to the right.
",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,3
FALSE,"What is the typical treatment of subclavian steal syndrome?
",,,,"Angioplasty, and stent placement.",,,,Neuroradiology,Brain,vascular abnormalities,TRUE,TRUE,4
FALSE,"What are the typical symptoms of posterior fossa-tumor?
",,,,"Headache, nausea, and ataxia.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,5
FALSE,"What is the most common, posterior fossa brain tumor in adults overall?
And, what is the most common, primary posterior fossa tumor in adults?
",,,,"The most common posterior fossa tumor overall in adults, are mets.
And the most common posterior fossa primary brain tumor in adults are hemangioblastomas, which typically occur in the cerebellum.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,6
TRUE,"This is an MR brain of a 45 year old male with persistent nausea and vomiting.
What is this lesion?
What else could be considered in the differential?","0006a.png, 0006b.png, 0006c.png, 0006d.png",https://radiopaedia.org/cases/cerebellar-haemangioblastoma-4,The Radswiki,"Axial T2WI shows a posterior fossa cystic lesion, with post-contrast images demonstrating an enhancing mural nodule.
This lesion is compatible with a hemangioblastoma.
Other differentials include mets, particularly melanoma, renal cell carcinoma, and thyroid carcinoma.
If central diffusion restriction was present, an abscess could be considered.
If this patient were younger, a pilocytic astrocytoma could also be considered.",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,7
FALSE,"What are the top three most common, posterior fossa brain tumors, in children,
where are they typically located, and what are their imaging features?
",,,,"The most common posterior fossa brain tumors in children are medulloblastomas, which are malignant.
Medulloblastomas tend to occur at the midline cerebellar vermis, and are hypercellular lesions, which will cause diffusion restriction.
Because medulloblastomas are midline, they can often obstruct CSF flow in the region of the 4th ventricle, and cause hydrocephalus.
The next most common posterior fossa brain tumor in children, are pilocytic astrocytomas.
Pilocytic astrocytomas, are typically located in a single cerebellar hemisphere, and are often cystic with an enhancing mural nodule.
Ependymomas, are the third most common posterior fossa brain tumor in children.
Ependymomas arise within the 4th ventricle, and can also cause hydrocephalus.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,8
FALSE,"Can you name a less common posterior fossa brain tumor in children, that typically involves the brainstem?
",,,,"Brainstem gliomas are less common posterior fossa brain tumors in children compared to medulloblastomas, pilocytic astrocytomas, and ependymomas.
Brainstem gliomas typically involve the pons and will cause enlargement without a discrete mass.
",,,,Neuroradiology,Brain,brain neoplasms,TRUE,TRUE,9
